id,seed,rue_efficiency_factor,pest_infection_prob,pest_daily_increment,toxicity_per_straw_unit,solar_rad_threshold,max_diffuse_bonus,max_light_limit,steepness_factor,max_water_capacity,lateral_leakage_coefficient,water_excess_coefficient,error_yield,error_pesticide,error_fertilizer,error_water,fitness
0,7.294165183515442E18,0.6531130122985527,0.5022115272810875,0.0873549968000862,0.0051066329244608,11.43326463580858,0.2151077407147328,25.79193424844329,3.031975683228043,114.85109793967722,0.0602654794850377,0.3334318286174319,0.16204054910545054,0.1246072723485542,0.07209747060396701,0.342431496383149,1.349338984862923
0,7.29756355202473E18,0.6531130122985527,0.5022115272810875,0.0873549968000862,0.0051066329244608,11.43326463580858,0.2151077407147328,25.79193424844329,3.031975683228043,114.85109793967722,0.0602654794850377,0.3334318286174319,0.16219911426925895,0.12616327771636765,0.07209747060396701,0.342431496383149,1.3516878160497783
0,5.402900741415137E17,0.726046255723701,0.805744328144958,0.0354075393089168,0.0178163369484803,12.650555349932944,0.1366911320030273,21.53440585461412,9.417825790339084,111.28163777176816,0.0954876532096263,0.15722699971165,0.16968191671532679,0.09511532387738213,0.07209747060396701,0.63860096631851,1.654223344376493
0,5.646560896029096E18,0.726046255723701,0.805744328144958,0.0354075393089168,0.0178163369484803,12.650555349932944,0.1366911320030273,21.53440585461412,9.417825790339084,111.28163777176816,0.0954876532096263,0.15722699971165,0.16968520763634412,0.09579519385879341,0.07209747060396701,0.63860096631851,1.6549196689629913
0,2.392075663994451E18,0.6767925792108602,0.9557503326992212,0.0946469672504009,0.0171227074282165,12.426835534644308,0.2560286275126466,20.98487072644268,9.829719948297672,86.91685137675096,0.0303591113080529,0.2617403107707897,0.37874711390557153,0.21415836002663946,0.07209747060396701,0.12302375118242793,2.3030151513408925
0,2.7071216404556677E18,0.6767925792108602,0.9557503326992212,0.0946469672504009,0.0171227074282165,12.426835534644308,0.2560286275126466,20.98487072644268,9.829719948297672,86.91685137675096,0.0303591113080529,0.2617403107707897,0.37879273267198393,0.21386100955207193,0.07209747060396701,0.12302375118242793,2.302945894698387
0,5.84047243397854E18,0.7372648281773277,0.8270515595095158,0.0545568918131503,0.0189319826278214,14.59854053954874,0.2069813365533392,20.6903132036571,4.432746733145585,71.3083379993572,0.0772290851869364,0.5742329179472201,0.08460146025096758,0.1655219458090364,0.07209747060396701,0.5670280061903161,1.2276547238581574
0,6.037819146029472E18,0.7372648281773277,0.8270515595095158,0.0545568918131503,0.0189319826278214,14.59854053954874,0.2069813365533392,20.6903132036571,4.432746733145585,71.3083379993572,0.0772290851869364,0.5742329179472201,0.08482382422754495,0.16568021690417048,0.07209747060396701,0.5670280061903161,1.2289248148361782
0,4.354828907983155E18,0.8137760888956487,0.9252005550755076,0.0610331121942245,0.0028056896499462,10.179607084902942,0.1032510860672583,24.663582587873144,5.505206588986719,79.36029091364115,0.060933005064795,0.3606187998910865,0.18982247539258282,0.18560435583123452,0.07209747060396701,0.3916026164742165,1.598416819872332
0,1.7447716820977705E18,0.8137760888956487,0.9252005550755076,0.0610331121942245,0.0028056896499462,10.179607084902942,0.1032510860672583,24.663582587873144,5.505206588986719,79.36029091364115,0.060933005064795,0.3606187998910865,0.18987354281377747,0.18567413895377147,0.07209747060396701,0.3916026164742165,1.5987419401008423
0,7.558650619792474E18,0.734579865225792,0.5370319422107477,0.0461360374265221,0.0069639037363092,13.281405776704077,0.3174984922319027,19.4353858698406,6.53582052045441,119.79213755382466,0.0885137830294705,0.4467330919920013,0.12754520005351455,0.04899882286380442,0.07209747060396701,0.5815144774313681,1.3403367711667122
0,1.6119632307972792E18,0.734579865225792,0.5370319422107477,0.0461360374265221,0.0069639037363092,13.281405776704077,0.3174984922319027,19.4353858698406,6.53582052045441,119.79213755382466,0.0885137830294705,0.4467330919920013,0.12763298191700373,0.04871182121242827,0.07209747060396701,0.5815144774313681,1.3404886788327819
0,1.721931099025063E18,0.6691233117930665,0.8732715455632338,0.0416196226580573,0.0016702740020059,13.181537185278788,0.2920726039792449,21.89489396143133,9.133513352970123,90.04825875236716,0.0928865898666263,0.5424478333182101,0.22944684358000733,0.14648145705134727,0.07209747060396701,0.6418819075922496,2.0076950531476006
0,7.754028731822085E18,0.6691233117930665,0.8732715455632338,0.0416196226580573,0.0016702740020059,13.181537185278788,0.2920726039792449,21.89489396143133,9.133513352970123,90.04825875236716,0.0928865898666263,0.5424478333182101,0.22938429484584194,0.14541341058678622,0.07209747060396701,0.6418819075922496,2.0063142630122126
0,8.64621462510147E18,0.7795174998082381,0.6209449010715044,0.0717732270040241,0.0112663961793315,19.45093675889394,0.0659571090328087,25.184711483623047,6.163602557729894,91.66574832626875,0.0480496959803584,0.1033294757912638,0.17123058645744804,0.1492455022330406,0.07209747060396701,0.24284974728791497,1.3203456524121628
0,1.300216545437743E18,0.7795174998082381,0.6209449010715044,0.0717732270040241,0.0112663961793315,19.45093675889394,0.0659571090328087,25.184711483623047,6.163602557729894,91.66574832626875,0.0480496959803584,0.1033294757912638,0.17159205868663022,0.14911572348698646,0.07209747060396701,0.24284974728791497,1.3220232348120196
0,6.147938395129565E18,0.5914295244996985,0.4072972239627019,0.0700388952399993,0.0038982755420361,15.992110405411744,0.2613793180212422,25.45526157061006,6.926460173294398,100.85129866050508,0.0101732589445167,0.4830799837201024,0.10492334716857354,0.043758608460874246,0.07209747060396701,0.09132801255158808,0.731800827459297
0,8.345205783661956E18,0.5914295244996985,0.4072972239627019,0.0700388952399993,0.0038982755420361,15.992110405411744,0.2613793180212422,25.45526157061006,6.926460173294398,100.85129866050508,0.0101732589445167,0.4830799837201024,0.10487112715485503,0.04433097600490693,0.07209747060396701,0.09132801255158808,0.7321120949347371
